24/05/04 17:33:39 | INFO | root | Reading sequences from /work/ratul1/curwen/Lanmodulin-data/fasta/Half_designs.fasta
24/05/04 17:33:39 | INFO | root | Loaded 525 sequences from /work/ratul1/curwen/Lanmodulin-data/fasta/Half_designs.fasta
24/05/04 17:33:39 | INFO | root | Loading model
24/05/04 17:34:14 | INFO | root | Starting Predictions
24/05/04 17:34:20 | INFO | root | Predicted structure for 300_(ef4,ef2)_(WP_024878302-1,WP_244536190-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('WP_244536190-1', 'ef2')|('WP_244536190-1', 'tail') with length 57, pLDDT 86.3, pTM 0.728 in 0.3s (amortized, batch size 17). 1 / 525 completed.
24/05/04 17:34:31 | INFO | root | Predicted structure for 318_(ef4,ef2)_(WP_064033039-1,WP_099908472-1)|('WP_064033039-1', 'head')|('WP_064033039-1', 'ef4')|('WP_064033039-1', 'linker1')|('WP_099908472-1', 'ef2')|('WP_099908472-1', 'tail') with length 58, pLDDT 86.1, pTM 0.703 in 0.2s (amortized, batch size 17). 71 / 525 completed.
24/05/04 17:34:31 | INFO | root | Predicted structure for 319_(ef4,ef2)_(WP_064033039-1,WP_184513836-1)|('WP_064033039-1', 'head')|('WP_064033039-1', 'ef4')|('WP_064033039-1', 'linker1')|('WP_184513836-1', 'ef2')|('WP_184513836-1', 'tail') with length 58, pLDDT 84.6, pTM 0.672 in 0.2s (amortized, batch size 17). 72 / 525 completed.
24/05/04 17:34:31 | INFO | root | Predicted structure for 320_(ef4,ef2)_(WP_064033039-1,WP_183506314-1)|('WP_064033039-1', 'head')|('WP_064033039-1', 'ef4')|('WP_064033039-1', 'linker1')|('WP_183506314-1', 'ef2')|('WP_183506314-1', 'tail') with length 58, pLDDT 83.0, pTM 0.624 in 0.2s (amortized, batch size 17). 73 / 525 completed.
24/05/04 17:34:31 | INFO | root | Predicted structure for 321_(ef4,ef2)_(WP_064033039-1,WP_092036464-1)|('WP_064033039-1', 'head')|('WP_064033039-1', 'ef4')|('WP_064033039-1', 'linker1')|('WP_092036464-1', 'ef2')|('WP_092036464-1', 'tail') with length 58, pLDDT 86.5, pTM 0.714 in 0.2s (amortized, batch size 17). 74 / 525 completed.
24/05/04 17:34:31 | INFO | root | Predicted structure for 322_(ef4,ef2)_(WP_064033039-1,MBN9042672-1)|('WP_064033039-1', 'head')|('WP_064033039-1', 'ef4')|('WP_064033039-1', 'linker1')|('MBN9042672-1', 'ef2')|('MBN9042672-1', 'tail') with length 58, pLDDT 86.4, pTM 0.721 in 0.2s (amortized, batch size 17). 75 / 525 completed.
24/05/04 17:34:31 | INFO | root | Predicted structure for 323_(ef4,ef2)_(WP_064033039-1,NJM54704-1)|('WP_064033039-1', 'head')|('WP_064033039-1', 'ef4')|('WP_064033039-1', 'linker1')|('NJM54704-1', 'ef2')|('NJM54704-1', 'tail') with length 58, pLDDT 83.9, pTM 0.707 in 0.2s (amortized, batch size 17). 76 / 525 completed.
24/05/04 17:34:31 | INFO | root | Predicted structure for 324_(ef4,ef2)_(WP_064033039-1,WP_024519214-1)|('WP_064033039-1', 'head')|('WP_064033039-1', 'ef4')|('WP_064033039-1', 'linker1')|('WP_024519214-1', 'ef2')|('WP_024519214-1', 'tail') with length 58, pLDDT 82.5, pTM 0.656 in 0.2s (amortized, batch size 17). 77 / 525 completed.
24/05/04 17:34:31 | INFO | root | Predicted structure for 325_(ef4,ef2)_(WP_064033039-1,WP_209296140-1)|('WP_064033039-1', 'head')|('WP_064033039-1', 'ef4')|('WP_064033039-1', 'linker1')|('WP_209296140-1', 'ef2')|('WP_209296140-1', 'tail') with length 58, pLDDT 83.6, pTM 0.695 in 0.2s (amortized, batch size 17). 78 / 525 completed.
24/05/04 17:34:31 | INFO | root | Predicted structure for 326_(ef4,ef2)_(WP_064033039-1,WP_122402182-1)|('WP_064033039-1', 'head')|('WP_064033039-1', 'ef4')|('WP_064033039-1', 'linker1')|('WP_122402182-1', 'ef2')|('WP_122402182-1', 'tail') with length 58, pLDDT 83.6, pTM 0.695 in 0.2s (amortized, batch size 17). 79 / 525 completed.
24/05/04 17:34:31 | INFO | root | Predicted structure for 327_(ef4,ef2)_(WP_064033039-1,WP_238286702-1)|('WP_064033039-1', 'head')|('WP_064033039-1', 'ef4')|('WP_064033039-1', 'linker1')|('WP_238286702-1', 'ef2')|('WP_238286702-1', 'tail') with length 58, pLDDT 86.5, pTM 0.717 in 0.2s (amortized, batch size 17). 80 / 525 completed.
24/05/04 17:34:31 | INFO | root | Predicted structure for 328_(ef4,ef2)_(WP_064033039-1,WP_233385613-1)|('WP_064033039-1', 'head')|('WP_064033039-1', 'ef4')|('WP_064033039-1', 'linker1')|('WP_233385613-1', 'ef2')|('WP_233385613-1', 'tail') with length 58, pLDDT 82.5, pTM 0.632 in 0.2s (amortized, batch size 17). 81 / 525 completed.
24/05/04 17:34:31 | INFO | root | Predicted structure for 329_(ef4,ef2)_(WP_064033039-1,WP_026190475-1)|('WP_064033039-1', 'head')|('WP_064033039-1', 'ef4')|('WP_064033039-1', 'linker1')|('WP_026190475-1', 'ef2')|('WP_026190475-1', 'tail') with length 58, pLDDT 83.3, pTM 0.637 in 0.2s (amortized, batch size 17). 82 / 525 completed.
24/05/04 17:34:31 | INFO | root | Predicted structure for 346_(ef4,ef2)_(WP_196407746-1,TMJ90498-1)|('WP_196407746-1', 'head')|('WP_196407746-1', 'ef4')|('WP_196407746-1', 'linker1')|('TMJ90498-1', 'ef2')|('TMJ90498-1', 'tail') with length 58, pLDDT 84.1, pTM 0.706 in 0.2s (amortized, batch size 17). 83 / 525 completed.
24/05/04 17:34:31 | INFO | root | Predicted structure for 347_(ef4,ef2)_(WP_196407746-1,WP_020174296-1)|('WP_196407746-1', 'head')|('WP_196407746-1', 'ef4')|('WP_196407746-1', 'linker1')|('WP_020174296-1', 'ef2')|('WP_020174296-1', 'tail') with length 58, pLDDT 86.2, pTM 0.688 in 0.2s (amortized, batch size 17). 84 / 525 completed.
24/05/04 17:34:31 | INFO | root | Predicted structure for 348_(ef4,ef2)_(WP_196407746-1,WP_099908472-1)|('WP_196407746-1', 'head')|('WP_196407746-1', 'ef4')|('WP_196407746-1', 'linker1')|('WP_099908472-1', 'ef2')|('WP_099908472-1', 'tail') with length 58, pLDDT 87.0, pTM 0.717 in 0.2s (amortized, batch size 17). 85 / 525 completed.
24/05/04 17:34:34 | INFO | root | Predicted structure for 349_(ef4,ef2)_(WP_196407746-1,WP_184513836-1)|('WP_196407746-1', 'head')|('WP_196407746-1', 'ef4')|('WP_196407746-1', 'linker1')|('WP_184513836-1', 'ef2')|('WP_184513836-1', 'tail') with length 58, pLDDT 85.9, pTM 0.702 in 0.2s (amortized, batch size 17). 86 / 525 completed.
24/05/04 17:34:34 | INFO | root | Predicted structure for 350_(ef4,ef2)_(WP_196407746-1,WP_183506314-1)|('WP_196407746-1', 'head')|('WP_196407746-1', 'ef4')|('WP_196407746-1', 'linker1')|('WP_183506314-1', 'ef2')|('WP_183506314-1', 'tail') with length 58, pLDDT 85.9, pTM 0.691 in 0.2s (amortized, batch size 17). 87 / 525 completed.
24/05/04 17:34:34 | INFO | root | Predicted structure for 351_(ef4,ef2)_(WP_196407746-1,WP_092036464-1)|('WP_196407746-1', 'head')|('WP_196407746-1', 'ef4')|('WP_196407746-1', 'linker1')|('WP_092036464-1', 'ef2')|('WP_092036464-1', 'tail') with length 58, pLDDT 87.2, pTM 0.724 in 0.2s (amortized, batch size 17). 88 / 525 completed.
24/05/04 17:34:34 | INFO | root | Predicted structure for 352_(ef4,ef2)_(WP_196407746-1,MBN9042672-1)|('WP_196407746-1', 'head')|('WP_196407746-1', 'ef4')|('WP_196407746-1', 'linker1')|('MBN9042672-1', 'ef2')|('MBN9042672-1', 'tail') with length 58, pLDDT 86.2, pTM 0.725 in 0.2s (amortized, batch size 17). 89 / 525 completed.
24/05/04 17:34:34 | INFO | root | Predicted structure for 353_(ef4,ef2)_(WP_196407746-1,NJM54704-1)|('WP_196407746-1', 'head')|('WP_196407746-1', 'ef4')|('WP_196407746-1', 'linker1')|('NJM54704-1', 'ef2')|('NJM54704-1', 'tail') with length 58, pLDDT 84.0, pTM 0.715 in 0.2s (amortized, batch size 17). 90 / 525 completed.
24/05/04 17:34:34 | INFO | root | Predicted structure for 354_(ef4,ef2)_(WP_196407746-1,WP_024519214-1)|('WP_196407746-1', 'head')|('WP_196407746-1', 'ef4')|('WP_196407746-1', 'linker1')|('WP_024519214-1', 'ef2')|('WP_024519214-1', 'tail') with length 58, pLDDT 83.7, pTM 0.681 in 0.2s (amortized, batch size 17). 91 / 525 completed.
24/05/04 17:34:34 | INFO | root | Predicted structure for 355_(ef4,ef2)_(WP_196407746-1,WP_209296140-1)|('WP_196407746-1', 'head')|('WP_196407746-1', 'ef4')|('WP_196407746-1', 'linker1')|('WP_209296140-1', 'ef2')|('WP_209296140-1', 'tail') with length 58, pLDDT 84.0, pTM 0.700 in 0.2s (amortized, batch size 17). 92 / 525 completed.
24/05/04 17:34:34 | INFO | root | Predicted structure for 356_(ef4,ef2)_(WP_196407746-1,WP_122402182-1)|('WP_196407746-1', 'head')|('WP_196407746-1', 'ef4')|('WP_196407746-1', 'linker1')|('WP_122402182-1', 'ef2')|('WP_122402182-1', 'tail') with length 58, pLDDT 84.0, pTM 0.700 in 0.2s (amortized, batch size 17). 93 / 525 completed.
24/05/04 17:34:34 | INFO | root | Predicted structure for 357_(ef4,ef2)_(WP_196407746-1,WP_238286702-1)|('WP_196407746-1', 'head')|('WP_196407746-1', 'ef4')|('WP_196407746-1', 'linker1')|('WP_238286702-1', 'ef2')|('WP_238286702-1', 'tail') with length 58, pLDDT 87.0, pTM 0.725 in 0.2s (amortized, batch size 17). 94 / 525 completed.
24/05/04 17:34:34 | INFO | root | Predicted structure for 358_(ef4,ef2)_(WP_196407746-1,WP_233385613-1)|('WP_196407746-1', 'head')|('WP_196407746-1', 'ef4')|('WP_196407746-1', 'linker1')|('WP_233385613-1', 'ef2')|('WP_233385613-1', 'tail') with length 58, pLDDT 85.0, pTM 0.695 in 0.2s (amortized, batch size 17). 95 / 525 completed.
24/05/04 17:34:34 | INFO | root | Predicted structure for 359_(ef4,ef2)_(WP_196407746-1,WP_026190475-1)|('WP_196407746-1', 'head')|('WP_196407746-1', 'ef4')|('WP_196407746-1', 'linker1')|('WP_026190475-1', 'ef2')|('WP_026190475-1', 'tail') with length 58, pLDDT 85.4, pTM 0.691 in 0.2s (amortized, batch size 17). 96 / 525 completed.
24/05/04 17:34:34 | INFO | root | Predicted structure for 361_(ef4,ef2)_(WP_018267140-1,TMJ90498-1)|('WP_018267140-1', 'head')|('WP_018267140-1', 'ef4')|('WP_018267140-1', 'linker1')|('TMJ90498-1', 'ef2')|('TMJ90498-1', 'tail') with length 58, pLDDT 84.0, pTM 0.709 in 0.2s (amortized, batch size 17). 97 / 525 completed.
24/05/04 17:34:34 | INFO | root | Predicted structure for 362_(ef4,ef2)_(WP_018267140-1,WP_020174296-1)|('WP_018267140-1', 'head')|('WP_018267140-1', 'ef4')|('WP_018267140-1', 'linker1')|('WP_020174296-1', 'ef2')|('WP_020174296-1', 'tail') with length 58, pLDDT 85.9, pTM 0.688 in 0.2s (amortized, batch size 17). 98 / 525 completed.
24/05/04 17:34:34 | INFO | root | Predicted structure for 363_(ef4,ef2)_(WP_018267140-1,WP_099908472-1)|('WP_018267140-1', 'head')|('WP_018267140-1', 'ef4')|('WP_018267140-1', 'linker1')|('WP_099908472-1', 'ef2')|('WP_099908472-1', 'tail') with length 58, pLDDT 86.7, pTM 0.716 in 0.2s (amortized, batch size 17). 99 / 525 completed.
24/05/04 17:34:34 | INFO | root | Predicted structure for 364_(ef4,ef2)_(WP_018267140-1,WP_184513836-1)|('WP_018267140-1', 'head')|('WP_018267140-1', 'ef4')|('WP_018267140-1', 'linker1')|('WP_184513836-1', 'ef2')|('WP_184513836-1', 'tail') with length 58, pLDDT 86.1, pTM 0.712 in 0.2s (amortized, batch size 17). 100 / 525 completed.
24/05/04 17:34:34 | INFO | root | Predicted structure for 365_(ef4,ef2)_(WP_018267140-1,WP_183506314-1)|('WP_018267140-1', 'head')|('WP_018267140-1', 'ef4')|('WP_018267140-1', 'linker1')|('WP_183506314-1', 'ef2')|('WP_183506314-1', 'tail') with length 58, pLDDT 85.4, pTM 0.691 in 0.2s (amortized, batch size 17). 101 / 525 completed.
24/05/04 17:34:34 | INFO | root | Predicted structure for 366_(ef4,ef2)_(WP_018267140-1,WP_092036464-1)|('WP_018267140-1', 'head')|('WP_018267140-1', 'ef4')|('WP_018267140-1', 'linker1')|('WP_092036464-1', 'ef2')|('WP_092036464-1', 'tail') with length 58, pLDDT 86.8, pTM 0.726 in 0.2s (amortized, batch size 17). 102 / 525 completed.
24/05/04 17:34:37 | INFO | root | Predicted structure for 367_(ef4,ef2)_(WP_018267140-1,MBN9042672-1)|('WP_018267140-1', 'head')|('WP_018267140-1', 'ef4')|('WP_018267140-1', 'linker1')|('MBN9042672-1', 'ef2')|('MBN9042672-1', 'tail') with length 58, pLDDT 85.7, pTM 0.725 in 0.2s (amortized, batch size 17). 103 / 525 completed.
24/05/04 17:34:37 | INFO | root | Predicted structure for 368_(ef4,ef2)_(WP_018267140-1,NJM54704-1)|('WP_018267140-1', 'head')|('WP_018267140-1', 'ef4')|('WP_018267140-1', 'linker1')|('NJM54704-1', 'ef2')|('NJM54704-1', 'tail') with length 58, pLDDT 83.8, pTM 0.714 in 0.2s (amortized, batch size 17). 104 / 525 completed.
24/05/04 17:34:37 | INFO | root | Predicted structure for 369_(ef4,ef2)_(WP_018267140-1,WP_024519214-1)|('WP_018267140-1', 'head')|('WP_018267140-1', 'ef4')|('WP_018267140-1', 'linker1')|('WP_024519214-1', 'ef2')|('WP_024519214-1', 'tail') with length 58, pLDDT 83.8, pTM 0.689 in 0.2s (amortized, batch size 17). 105 / 525 completed.
24/05/04 17:34:37 | INFO | root | Predicted structure for 370_(ef4,ef2)_(WP_018267140-1,WP_209296140-1)|('WP_018267140-1', 'head')|('WP_018267140-1', 'ef4')|('WP_018267140-1', 'linker1')|('WP_209296140-1', 'ef2')|('WP_209296140-1', 'tail') with length 58, pLDDT 84.1, pTM 0.704 in 0.2s (amortized, batch size 17). 106 / 525 completed.
24/05/04 17:34:37 | INFO | root | Predicted structure for 371_(ef4,ef2)_(WP_018267140-1,WP_122402182-1)|('WP_018267140-1', 'head')|('WP_018267140-1', 'ef4')|('WP_018267140-1', 'linker1')|('WP_122402182-1', 'ef2')|('WP_122402182-1', 'tail') with length 58, pLDDT 84.1, pTM 0.704 in 0.2s (amortized, batch size 17). 107 / 525 completed.
24/05/04 17:34:37 | INFO | root | Predicted structure for 372_(ef4,ef2)_(WP_018267140-1,WP_238286702-1)|('WP_018267140-1', 'head')|('WP_018267140-1', 'ef4')|('WP_018267140-1', 'linker1')|('WP_238286702-1', 'ef2')|('WP_238286702-1', 'tail') with length 58, pLDDT 86.4, pTM 0.726 in 0.2s (amortized, batch size 17). 108 / 525 completed.
24/05/04 17:34:37 | INFO | root | Predicted structure for 373_(ef4,ef2)_(WP_018267140-1,WP_233385613-1)|('WP_018267140-1', 'head')|('WP_018267140-1', 'ef4')|('WP_018267140-1', 'linker1')|('WP_233385613-1', 'ef2')|('WP_233385613-1', 'tail') with length 58, pLDDT 84.8, pTM 0.699 in 0.2s (amortized, batch size 17). 109 / 525 completed.
24/05/04 17:34:37 | INFO | root | Predicted structure for 374_(ef4,ef2)_(WP_018267140-1,WP_026190475-1)|('WP_018267140-1', 'head')|('WP_018267140-1', 'ef4')|('WP_018267140-1', 'linker1')|('WP_026190475-1', 'ef2')|('WP_026190475-1', 'tail') with length 58, pLDDT 85.3, pTM 0.697 in 0.2s (amortized, batch size 17). 110 / 525 completed.
24/05/04 17:34:37 | INFO | root | Predicted structure for 451_(ef4,ef3)_(WP_024878302-1,WP_048445733-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('WP_048445733-1', 'ef3')|('WP_048445733-1', 'tail') with length 58, pLDDT 86.0, pTM 0.706 in 0.2s (amortized, batch size 17). 111 / 525 completed.
24/05/04 17:34:37 | INFO | root | Predicted structure for 452_(ef4,ef3)_(WP_024878302-1,WP_147081983-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('WP_147081983-1', 'ef3')|('WP_147081983-1', 'tail') with length 58, pLDDT 85.7, pTM 0.685 in 0.2s (amortized, batch size 17). 112 / 525 completed.
24/05/04 17:34:37 | INFO | root | Predicted structure for 453_(ef4,ef3)_(WP_024878302-1,WP_091858554-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('WP_091858554-1', 'ef3')|('WP_091858554-1', 'tail') with length 58, pLDDT 85.2, pTM 0.671 in 0.2s (amortized, batch size 17). 113 / 525 completed.
24/05/04 17:34:37 | INFO | root | Predicted structure for 454_(ef4,ef3)_(WP_024878302-1,WP_147080767-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('WP_147080767-1', 'ef3')|('WP_147080767-1', 'tail') with length 58, pLDDT 85.8, pTM 0.709 in 0.2s (amortized, batch size 17). 114 / 525 completed.
24/05/04 17:34:37 | INFO | root | Predicted structure for 456_(ef4,ef3)_(WP_024878302-1,WP_012453714-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('WP_012453714-1', 'ef3')|('WP_012453714-1', 'tail') with length 58, pLDDT 87.2, pTM 0.725 in 0.2s (amortized, batch size 17). 115 / 525 completed.
24/05/04 17:34:37 | INFO | root | Predicted structure for 458_(ef4,ef3)_(WP_024878302-1,WP_003601797-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('WP_003601797-1', 'ef3')|('WP_003601797-1', 'tail') with length 58, pLDDT 87.2, pTM 0.725 in 0.2s (amortized, batch size 17). 116 / 525 completed.
24/05/04 17:34:37 | INFO | root | Predicted structure for 459_(ef4,ef3)_(WP_024878302-1,WP_026016174-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('WP_026016174-1', 'ef3')|('WP_026016174-1', 'tail') with length 58, pLDDT 84.0, pTM 0.686 in 0.2s (amortized, batch size 17). 117 / 525 completed.
24/05/04 17:34:37 | INFO | root | Predicted structure for 460_(ef4,ef3)_(WP_024878302-1,WP_074826049-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('WP_074826049-1', 'ef3')|('WP_074826049-1', 'tail') with length 58, pLDDT 83.4, pTM 0.665 in 0.2s (amortized, batch size 17). 118 / 525 completed.
24/05/04 17:34:37 | INFO | root | Predicted structure for 461_(ef4,ef3)_(WP_024878302-1,MCJ2031403-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('MCJ2031403-1', 'ef3')|('MCJ2031403-1', 'tail') with length 58, pLDDT 87.2, pTM 0.725 in 0.2s (amortized, batch size 17). 119 / 525 completed.
24/05/04 17:34:39 | INFO | root | Predicted structure for 462_(ef4,ef3)_(WP_024878302-1,WP_238256066-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('WP_238256066-1', 'ef3')|('WP_238256066-1', 'tail') with length 58, pLDDT 87.2, pTM 0.725 in 0.2s (amortized, batch size 17). 120 / 525 completed.
24/05/04 17:34:39 | INFO | root | Predicted structure for 463_(ef4,ef3)_(WP_024878302-1,WP_231346494-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('WP_231346494-1', 'ef3')|('WP_231346494-1', 'tail') with length 58, pLDDT 87.2, pTM 0.725 in 0.2s (amortized, batch size 17). 121 / 525 completed.
24/05/04 17:34:39 | INFO | root | Predicted structure for 464_(ef4,ef3)_(WP_024878302-1,OLB71496-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('OLB71496-1', 'ef3')|('OLB71496-1', 'tail') with length 58, pLDDT 86.4, pTM 0.719 in 0.2s (amortized, batch size 17). 122 / 525 completed.
24/05/04 17:34:39 | INFO | root | Predicted structure for 466_(ef4,ef3)_(WP_064033039-1,WP_048445733-1)|('WP_064033039-1', 'head')|('WP_064033039-1', 'ef4')|('WP_064033039-1', 'linker1')|('WP_048445733-1', 'ef3')|('WP_048445733-1', 'tail') with length 58, pLDDT 85.4, pTM 0.689 in 0.2s (amortized, batch size 17). 123 / 525 completed.
24/05/04 17:34:39 | INFO | root | Predicted structure for 467_(ef4,ef3)_(WP_064033039-1,WP_147081983-1)|('WP_064033039-1', 'head')|('WP_064033039-1', 'ef4')|('WP_064033039-1', 'linker1')|('WP_147081983-1', 'ef3')|('WP_147081983-1', 'tail') with length 58, pLDDT 83.8, pTM 0.648 in 0.2s (amortized, batch size 17). 124 / 525 completed.
24/05/04 17:34:39 | INFO | root | Predicted structure for 468_(ef4,ef3)_(WP_064033039-1,WP_091858554-1)|('WP_064033039-1', 'head')|('WP_064033039-1', 'ef4')|('WP_064033039-1', 'linker1')|('WP_091858554-1', 'ef3')|('WP_091858554-1', 'tail') with length 58, pLDDT 83.4, pTM 0.629 in 0.2s (amortized, batch size 17). 125 / 525 completed.
24/05/04 17:34:39 | INFO | root | Predicted structure for 469_(ef4,ef3)_(WP_064033039-1,WP_147080767-1)|('WP_064033039-1', 'head')|('WP_064033039-1', 'ef4')|('WP_064033039-1', 'linker1')|('WP_147080767-1', 'ef3')|('WP_147080767-1', 'tail') with length 58, pLDDT 85.3, pTM 0.690 in 0.2s (amortized, batch size 17). 126 / 525 completed.
24/05/04 17:34:39 | INFO | root | Predicted structure for 471_(ef4,ef3)_(WP_064033039-1,WP_012453714-1)|('WP_064033039-1', 'head')|('WP_064033039-1', 'ef4')|('WP_064033039-1', 'linker1')|('WP_012453714-1', 'ef3')|('WP_012453714-1', 'tail') with length 58, pLDDT 86.8, pTM 0.709 in 0.2s (amortized, batch size 17). 127 / 525 completed.
24/05/04 17:34:39 | INFO | root | Predicted structure for 473_(ef4,ef3)_(WP_064033039-1,WP_003601797-1)|('WP_064033039-1', 'head')|('WP_064033039-1', 'ef4')|('WP_064033039-1', 'linker1')|('WP_003601797-1', 'ef3')|('WP_003601797-1', 'tail') with length 58, pLDDT 86.8, pTM 0.709 in 0.2s (amortized, batch size 17). 128 / 525 completed.
24/05/04 17:34:39 | INFO | root | Predicted structure for 474_(ef4,ef3)_(WP_064033039-1,WP_026016174-1)|('WP_064033039-1', 'head')|('WP_064033039-1', 'ef4')|('WP_064033039-1', 'linker1')|('WP_026016174-1', 'ef3')|('WP_026016174-1', 'tail') with length 58, pLDDT 81.7, pTM 0.653 in 0.2s (amortized, batch size 17). 129 / 525 completed.
24/05/04 17:34:39 | INFO | root | Predicted structure for 475_(ef4,ef3)_(WP_064033039-1,WP_074826049-1)|('WP_064033039-1', 'head')|('WP_064033039-1', 'ef4')|('WP_064033039-1', 'linker1')|('WP_074826049-1', 'ef3')|('WP_074826049-1', 'tail') with length 58, pLDDT 82.8, pTM 0.662 in 0.2s (amortized, batch size 17). 130 / 525 completed.
24/05/04 17:34:39 | INFO | root | Predicted structure for 476_(ef4,ef3)_(WP_064033039-1,MCJ2031403-1)|('WP_064033039-1', 'head')|('WP_064033039-1', 'ef4')|('WP_064033039-1', 'linker1')|('MCJ2031403-1', 'ef3')|('MCJ2031403-1', 'tail') with length 58, pLDDT 86.8, pTM 0.709 in 0.2s (amortized, batch size 17). 131 / 525 completed.
24/05/04 17:34:39 | INFO | root | Predicted structure for 477_(ef4,ef3)_(WP_064033039-1,WP_238256066-1)|('WP_064033039-1', 'head')|('WP_064033039-1', 'ef4')|('WP_064033039-1', 'linker1')|('WP_238256066-1', 'ef3')|('WP_238256066-1', 'tail') with length 58, pLDDT 86.8, pTM 0.709 in 0.2s (amortized, batch size 17). 132 / 525 completed.
24/05/04 17:34:39 | INFO | root | Predicted structure for 478_(ef4,ef3)_(WP_064033039-1,WP_231346494-1)|('WP_064033039-1', 'head')|('WP_064033039-1', 'ef4')|('WP_064033039-1', 'linker1')|('WP_231346494-1', 'ef3')|('WP_231346494-1', 'tail') with length 58, pLDDT 86.8, pTM 0.709 in 0.2s (amortized, batch size 17). 133 / 525 completed.
24/05/04 17:34:39 | INFO | root | Predicted structure for 479_(ef4,ef3)_(WP_064033039-1,OLB71496-1)|('WP_064033039-1', 'head')|('WP_064033039-1', 'ef4')|('WP_064033039-1', 'linker1')|('OLB71496-1', 'ef3')|('OLB71496-1', 'tail') with length 58, pLDDT 85.7, pTM 0.703 in 0.2s (amortized, batch size 17). 134 / 525 completed.
24/05/04 17:34:39 | INFO | root | Predicted structure for 496_(ef4,ef3)_(WP_196407746-1,WP_048445733-1)|('WP_196407746-1', 'head')|('WP_196407746-1', 'ef4')|('WP_196407746-1', 'linker1')|('WP_048445733-1', 'ef3')|('WP_048445733-1', 'tail') with length 58, pLDDT 85.8, pTM 0.707 in 0.2s (amortized, batch size 17). 135 / 525 completed.
24/05/04 17:34:39 | INFO | root | Predicted structure for 497_(ef4,ef3)_(WP_196407746-1,WP_147081983-1)|('WP_196407746-1', 'head')|('WP_196407746-1', 'ef4')|('WP_196407746-1', 'linker1')|('WP_147081983-1', 'ef3')|('WP_147081983-1', 'tail') with length 58, pLDDT 86.1, pTM 0.692 in 0.2s (amortized, batch size 17). 136 / 525 completed.
24/05/04 17:34:42 | INFO | root | Predicted structure for 498_(ef4,ef3)_(WP_196407746-1,WP_091858554-1)|('WP_196407746-1', 'head')|('WP_196407746-1', 'ef4')|('WP_196407746-1', 'linker1')|('WP_091858554-1', 'ef3')|('WP_091858554-1', 'tail') with length 58, pLDDT 85.1, pTM 0.671 in 0.2s (amortized, batch size 17). 137 / 525 completed.
24/05/04 17:34:42 | INFO | root | Predicted structure for 499_(ef4,ef3)_(WP_196407746-1,WP_147080767-1)|('WP_196407746-1', 'head')|('WP_196407746-1', 'ef4')|('WP_196407746-1', 'linker1')|('WP_147080767-1', 'ef3')|('WP_147080767-1', 'tail') with length 58, pLDDT 85.9, pTM 0.710 in 0.2s (amortized, batch size 17). 138 / 525 completed.
24/05/04 17:34:42 | INFO | root | Predicted structure for 501_(ef4,ef3)_(WP_196407746-1,WP_012453714-1)|('WP_196407746-1', 'head')|('WP_196407746-1', 'ef4')|('WP_196407746-1', 'linker1')|('WP_012453714-1', 'ef3')|('WP_012453714-1', 'tail') with length 58, pLDDT 86.5, pTM 0.720 in 0.2s (amortized, batch size 17). 139 / 525 completed.
24/05/04 17:34:42 | INFO | root | Predicted structure for 503_(ef4,ef3)_(WP_196407746-1,WP_003601797-1)|('WP_196407746-1', 'head')|('WP_196407746-1', 'ef4')|('WP_196407746-1', 'linker1')|('WP_003601797-1', 'ef3')|('WP_003601797-1', 'tail') with length 58, pLDDT 86.5, pTM 0.720 in 0.2s (amortized, batch size 17). 140 / 525 completed.
24/05/04 17:34:42 | INFO | root | Predicted structure for 504_(ef4,ef3)_(WP_196407746-1,WP_026016174-1)|('WP_196407746-1', 'head')|('WP_196407746-1', 'ef4')|('WP_196407746-1', 'linker1')|('WP_026016174-1', 'ef3')|('WP_026016174-1', 'tail') with length 58, pLDDT 83.5, pTM 0.679 in 0.2s (amortized, batch size 17). 141 / 525 completed.
